"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"58809",2013.47251424036,-6.24331955966969,0.290975303201355,-21.4565273787147,3.9686072490772e-102,1.7398563161252e-99
"26943",18286.2328369824,2.04320815550078,0.0952367093822199,21.4539978203219,4.19043667254727e-102,1.794383963991e-99
"227960",356.171343173688,4.37400305848649,0.206409070313093,21.1909440406458,1.15753140076797e-99,4.84400583689558e-97
"380785",350.354085345971,-6.557826764687,0.310466944541508,-21.1224636953589,4.94477040884266e-99,2.02329016751155e-96
"237979",830.712988823589,-8.30916453693091,0.396292855161859,-20.9672327641062,1.30645194897422e-97,5.22949994270919e-95
"30791",2899.94420497723,-1.44696034631943,0.0691165319787663,-20.9350831833397,2.5661675509573e-97,1.00533708756972e-94
"242505",911.661858239019,5.90671068373814,0.282202404075423,20.9307596194662,2.80983003276113e-97,1.07786250819231e-94
"11302",270.763498885508,-6.22630832916451,0.297508205834735,-20.9281902382995,2.96542986947442e-97,1.11433592217617e-94
"110796",630.854847523634,-1.93196064671721,0.0925543405161263,-20.873798418785,9.26696282815903e-97,3.41265173109784e-94
"12111",3924.72348027017,-6.4462063337447,0.308957282889652,-20.8643935286259,1.12816313822668e-96,4.07311134591525e-94
"29810",6547.6749624621,-1.91360582733312,0.0917357246822674,-20.8599848528043,1.237107212947e-96,4.38054905999866e-94
"11568",2452.61072446388,-5.82624616861105,0.279356705445568,-20.8559381430215,1.34632008712732e-96,4.67731920080668e-94
"12289",614.996336744656,-5.06601153086343,0.243253892744545,-20.8260245034744,2.51490091698272e-96,8.57534640451904e-94
"58178",641.386741130192,-7.88689336758286,0.382932569481642,-20.5960369948657,2.97842638147475e-94,9.97122999310809e-92
"53418",226.624705412181,-4.16332714705994,0.202886429217714,-20.5204811534849,1.41306992684674e-93,4.64622438625518e-91
"233651",519.381335093767,-6.02138064667427,0.293891093345504,-20.4884761158632,2.72798909664948e-93,8.81236197133455e-91
"207777",472.304857955566,-6.29078915489846,0.307591813706547,-20.4517444046807,5.79649175332572e-93,1.84018625265494e-90
"77220",424.230381301945,-8.32909495977373,0.408719547278083,-20.378508968417,2.59438316032384e-92,8.09667409000726e-90
"12797",21595.404895261,-9.06868278055757,0.445899806772537,-20.3379383503158,5.93743865415234e-92,1.82210096564845e-89
"12444",1050.75128068444,-6.72946650350868,0.331888893629328,-20.2762630286282,2.08373569636173e-91,6.28980743887024e-89
"83603",388.907013076538,-6.78762697669815,0.334797774679795,-20.2738115066324,2.19018786353097e-91,6.50450469857997e-89
"235627",518.585841973008,3.28014108263419,0.161822542521015,20.2699885413568,2.36711939341672e-91,6.91837609380667e-89
"54216",1305.71011922043,-7.97435307937275,0.393734854065018,-20.2531043341566,3.33543538181892e-91,9.5961518258487e-89
"12831",1175.47813298933,-5.18177350656986,0.257952551893776,-20.0880877840809,9.38058061281645e-90,2.65730201267368e-87
"26362",3525.71790496856,-6.55943396938183,0.327918298940045,-20.003256880096,5.15908972301791e-89,1.43930786469589e-86
"12826",30542.5767543328,-5.86937488498252,0.293702487036832,-19.9840830229213,7.57664267805555e-89,2.08221972583637e-86
"22240",1558.98359665547,-7.09867887648674,0.355830416130554,-19.9496123846879,1.5105486269691e-88,4.09025468652678e-86
"241556",481.549795052239,-6.35566454535239,0.319096898228546,-19.9176631945833,2.86031370974492e-88,7.63289222283089e-86
