EntrezGeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
269870,114.9105692,0.008043532,0.161225731,0.049889881,0.960210141,0.969795915
100504218,1.031534083,0.068582814,1.371883281,0.049991726,0.960128981,0.969767138
433864,599.9524141,0.007541043,0.149961834,0.050286416,0.959894149,0.969583134
27784,319.5233962,0.009170576,0.182297754,0.05030548,0.959878957,0.969583134
67665,2302.57181,-0.009743669,0.192691426,-0.050566179,0.959671214,0.969464314
69277,10.31083491,0.024168354,0.477696087,0.050593577,0.959649381,0.969464314
12416,55.86008435,-0.024737604,0.485540234,-0.050948619,0.959366464,0.969262809
225004,0.806392879,-0.088488181,1.729861578,-0.05115333,0.95920334,0.96915118
68981,684.1846592,0.011045337,0.215155556,0.051336519,0.959057369,0.969056869
66839,719.1352779,0.008700644,0.168713376,0.051570562,0.958870877,0.968921603
100125257,0.921131877,-0.106178736,2.049937526,-0.051796084,0.958691176,0.968793185
73988,0.934977955,-0.068110031,1.308763002,-0.052041531,0.958495601,0.96864871
13730,8717.307061,-0.034891135,0.668747523,-0.052173853,0.958390167,0.968595321
414069,97.28726643,0.01072606,0.204286952,0.052504872,0.958126413,0.968381911
81702,4815.736215,-0.009544283,0.18162432,-0.052549588,0.958090784,0.968381911
232989,1960.458712,-0.005908534,0.111971387,-0.052768249,0.95791656,0.96827611
67118,549.1640979,0.010682599,0.201092672,0.053122764,0.957634094,0.968043731
20512,295.1674769,0.052841628,0.986352111,0.053572784,0.957275541,0.967734409
226153,397.2138983,0.015255222,0.281879432,0.054119669,0.956839821,0.967347039
71538,648.6052147,-0.019252702,0.354190772,-0.054356872,0.95665084,0.967209088
73212,272.3807527,0.01357859,0.246905658,0.054995054,0.956142404,0.966748124
71982,265.4408009,-0.023583591,0.426227135,-0.055331041,0.955874733,0.966530558
60504,5.219619337,0.03504807,0.631130031,0.05553225,0.955714438,0.966421547
18002,620.8479828,0.006347159,0.113474833,0.055934511,0.955393978,0.966150556
70345,2.088482056,0.046715327,0.828326313,0.056397252,0.955025346,0.965830818
320400,2.689808103,0.040080653,0.706979454,0.056692811,0.954789901,0.965645746
100134990,65.99752613,-0.011754945,0.205404189,-0.057228362,0.954363285,0.965267299
13521,570.8187914,-0.022689561,0.39537941,-0.057386804,0.954237074,0.965192664
22137,83.10858973,0.02553363,0.442889754,0.057652339,0.954025559,0.965031732
67574,221.4862015,-0.007291328,0.124980945,-0.05833952,0.953478189,0.964531035
68055,94.01532769,-0.014344116,0.245549479,-0.058416399,0.953416952,0.964522078
625281,16.33457162,0.02209194,0.375807933,0.058785189,0.953123205,0.964277889
436230,45.83327305,-0.012886359,0.21879176,-0.058897826,0.953033489,0.964240103
243911,3.086606072,-0.058306152,0.972810112,-0.0599358,0.952206767,0.9634566
67554,217.9298859,0.022400871,0.372246817,0.060177467,0.952014292,0.963314786
226043,137.1868007,-0.013342959,0.221370327,-0.060274379,0.951937107,0.963289622
106894,961.0000158,0.010690486,0.177214778,0.060325026,0.951896771,0.963289622
52705,508.3328725,0.013670003,0.226237456,0.060423255,0.951818538,0.963275516
56045,1188.963638,0.015321947,0.252809911,0.060606591,0.951672524,0.963180684
72338,11.78855246,-0.030447202,0.502236918,-0.060623185,0.951659308,0.963180684
68964,593.5089948,0.008661556,0.140489239,0.061652806,0.950839324,0.962443212
114672,1.745812112,-0.061993752,1.005315253,-0.061665981,0.950828831,0.962443212
100043324,207.6861401,-0.009418055,0.152588734,-0.061721825,0.950784359,0.962443212
229599,56.11569222,-0.025955099,0.420113405,-0.061781173,0.950737097,0.962443212
107328,89.52187344,0.012297424,0.198764027,0.061869464,0.950666785,0.962443212
330554,97.56265446,-0.014586325,0.234338254,-0.062244746,0.95036793,0.962230545
66999,620.2364043,0.009283062,0.148426746,0.062543054,0.950130377,0.962042927
667597,43.2369527,0.028362192,0.446830358,0.063474183,0.949388917,0.961345036
67832,920.0986983,0.014248602,0.223805088,0.063665229,0.949236791,0.961243856
108637,21.10771946,0.020779656,0.32626463,0.063689576,0.949217405,0.961243856
93842,274.5610997,0.041117134,0.643465143,0.063899551,0.94905021,0.961160636
67772,1590.456626,0.009765151,0.152034824,0.064229697,0.948787332,0.960947257
100198,321.3723169,0.038349385,0.591504924,0.064833585,0.9483065,0.960513097
66580,661.485558,0.010400531,0.160284574,0.06488791,0.948263247,0.960513097
16341,2228.667198,-0.013229977,0.203466342,-0.065022925,0.948155747,0.960466071
12400,1160.081476,0.019742939,0.303127355,0.065130839,0.948069827,0.960431873
26409,1781.249364,0.007240605,0.110870613,0.065306802,0.947929727,0.960342782
211556,590.7594651,0.011555052,0.175562141,0.065817449,0.947523164,0.959983714
74466,2.180588382,-0.056758286,0.852260113,-0.066597375,0.946902236,0.95940741
228366,2306.143962,0.032025207,0.480690594,0.066623327,0.946881574,0.95940741
100504061,1.562680052,-0.093056862,1.389227711,-0.0669846,0.946593963,0.95920063
70549,1208.085092,0.018225514,0.269606755,0.067600363,0.946103767,0.958756668
70930,464.4021629,-0.016399236,0.239497843,-0.068473418,0.945408779,0.958105116
98558,2.127177318,-0.092405876,1.344954489,-0.068705578,0.945223978,0.957970559
11624,1.748855072,-0.062969109,0.909550582,-0.069231014,0.944805737,0.957599385
59016,242.3545495,-0.01176848,0.168782622,-0.069725659,0.944412019,0.957253027
218624,2.044642497,-0.11262264,1.610882533,-0.069913627,0.944262407,0.957154071
100862206,11.97343661,0.031175124,0.445484578,0.069980254,0.944209376,0.957153009
52440,6784.281379,0.01896334,0.270671553,0.070060335,0.944145637,0.95714109
320208,6.109744677,0.03682532,0.521844451,0.070567619,0.943741883,0.956784456
723885,1.414012318,-0.078144158,1.09972443,-0.071057945,0.943351639,0.95644148
100039139,14.64845619,-0.034337288,0.47096187,-0.072908849,0.941878652,0.95500064
100526467,11.202415,-0.040328145,0.552554367,-0.072984937,0.941818104,0.954991836
245902,29.65443984,0.017545889,0.239884341,0.07314312,0.941692228,0.954916786
382207,378.5821923,0.026770636,0.365034893,0.073337197,0.941537792,0.954812765
58240,83.6909838,-0.019699948,0.266687499,-0.073869035,0.941114595,0.954436166
78394,536.2475615,0.011157052,0.150226055,0.074268421,0.940796804,0.954166431
104806,336.1026386,-0.020246462,0.272574083,-0.074278748,0.940788587,0.954166431
26384,107.5130668,0.014832824,0.199558759,0.074328105,0.940749314,0.954166431
259279,1000.19119,-0.011954738,0.160484444,-0.074491568,0.94061925,0.95414402
387139,1.554267349,0.068389568,0.916607767,0.074611596,0.940523748,0.954099706
97165,257.7369686,0.024688407,0.329749719,0.074870138,0.940318036,0.953943582
100504501,47.2741184,0.01610991,0.214755689,0.075015058,0.940202731,0.953879161
100503271,1.23037336,-0.076963426,1.020306557,-0.075431668,0.939871263,0.953595414
26386,48.93888202,0.035404783,0.464617409,0.076202016,0.939258379,0.953026094
16906,1014.583295,0.029282629,0.382113937,0.076633241,0.938915314,0.952730501
621542,8.592910169,0.029058112,0.377379988,0.076999611,0.938623854,0.952487243
12050,1684.152455,-0.029006741,0.374895582,-0.077372855,0.938326935,0.952238418
18632,294.8982531,-0.014889219,0.19153246,-0.077737313,0.938037013,0.951996666
12915,1349.725142,-0.010649697,0.136843925,-0.077823673,0.937968316,0.951979418
50933,449.589709,0.02267208,0.291232385,0.077848758,0.937948361,0.951979418
245297,42.91615926,0.025866099,0.331455073,0.078038026,0.937797805,0.9519113
80911,426.3963792,0.01538357,0.196302001,0.078366854,0.937536239,0.951698261
271457,2256.272765,-0.006463729,0.082005968,-0.078820225,0.937175617,0.951384642
218236,5473.755399,-0.013612811,0.172663701,-0.07884003,0.937159864,0.951384642
235315,838.4318668,0.019865438,0.251235147,0.079071094,0.936976075,0.951286969
381511,285.7654655,0.030571127,0.384738861,0.079459421,0.936667207,0.951025822
217674,4.539936705,0.068503814,0.859735791,0.079680077,0.936491705,0.950900064
332131,33.9510511,0.06083248,0.761334868,0.079902396,0.936314884,0.950772953
629159,32.15174465,-0.021477088,0.268530324,-0.079980122,0.936253066,0.950762613
108853,76.61897727,-0.014410811,0.178975063,-0.080518541,0.93582485,0.950380176
11797,2183.218775,-0.022943372,0.284757613,-0.080571585,0.935782665,0.950380176
72310,1.958175217,0.092197477,1.143789864,0.080607006,0.935754494,0.950380176
67698,285.2290128,0.019233398,0.238500218,0.080643107,0.935725784,0.950380176
100043764,2.795369088,-0.059100742,0.728666522,-0.081108079,0.935356001,0.950113645
66960,505.5002924,-0.01858878,0.228795554,-0.081246248,0.93524612,0.950054442
100702,43.61873889,0.023426873,0.288087392,0.081318635,0.935188554,0.950048378
12537,1555.770534,-0.010725702,0.130839477,-0.081976039,0.934665768,0.949569675
20182,935.8485645,0.010611731,0.128906762,0.082320979,0.934391472,0.949343386
217463,957.2743292,0.025894019,0.314126661,0.082431778,0.934303367,0.949306252
433632,1.051884504,0.094147211,1.137842648,0.082741854,0.934056804,0.949108103
228869,711.8626423,0.027160415,0.325281321,0.083498231,0.933455384,0.948549337
408062,31.62556534,-0.032302225,0.386750313,-0.08352217,0.93343635,0.948549337
639396,6.640483159,0.048039787,0.573990205,0.083694437,0.933299381,0.948495501
100503584,1.787592269,0.106574833,1.26645504,0.084152085,0.932935513,0.948178043
319518,225.6591728,-0.019000304,0.225274618,-0.084342854,0.932783841,0.948076224
21770,1012.68154,0.008478918,0.10034103,0.084501008,0.932658102,0.948000752
64818,1.342440865,0.10382049,1.22224751,0.08494228,0.932307279,0.947696473
381104,1.532705084,0.070946503,0.835047184,0.084961071,0.93229234,0.947696473
103268,83.03849934,0.020216696,0.23747314,0.085132557,0.932156007,0.947647337
192161,2.253978774,-0.094201668,1.103816751,-0.085341763,0.93198969,0.947530571
100504703,15.95545068,0.030744456,0.358964903,0.085647526,0.931746617,0.947335751
69721,100.0934379,0.019499119,0.225792816,0.086358456,0.931181471,0.946813431
19384,3734.741242,0.017202452,0.198038803,0.086864047,0.930779578,0.946457056
67074,2875.900084,0.009904764,0.113029592,0.087629834,0.930170889,0.945890351
17259,11.07983135,0.05113103,0.580934826,0.088015088,0.929864684,0.945631196
66667,74.64507001,-0.022411885,0.254510351,-0.088058837,0.929829913,0.945631196
21393,0.709065547,0.113754491,1.291064294,0.088109083,0.929789977,0.945631196
21767,721.2266095,0.015223132,0.172598896,0.088199478,0.929718132,0.945631196
66549,893.1342562,0.016487292,0.185999548,0.088641573,0.929366768,0.945333681
320213,1110.350421,0.012696449,0.142343891,0.089195599,0.928926463,0.944938012
329307,2.437397466,-0.062321036,0.69526587,-0.089636265,0.928576265,0.944633965
30952,0.78376211,-0.130441553,1.452416527,-0.089810017,0.928438188,0.944545685
675713,2.254070931,0.069963209,0.778703699,0.089845739,0.928409801,0.944545685
330695,111.0587421,-0.046569933,0.517620031,-0.089969341,0.928311578,0.944521252
242860,326.4686863,0.013585319,0.150665743,0.090168602,0.928153234,0.944412329
319371,46.59824894,0.029971938,0.331140594,0.090511217,0.927880981,0.944187483
18105,270.6828139,-0.01518237,0.167704883,-0.090530279,0.927865833,0.944187483
106947,378.1959772,-0.026400378,0.291365523,-0.090609134,0.927803174,0.944187483
56612,1135.263474,-0.01389535,0.153063161,-0.090781802,0.92766597,0.944125222
329427,11.99036664,-0.048246431,0.529003918,-0.091202407,0.927331762,0.943837253
